x1, x2, y
0.1132 0.2653 -0.1296
0.6855 0.8547 3.9392
0.0735 0.4615 1.4917
0.3961 0.6844 1.5551
0.9520 0.9499 3.4449
0.9791 0.2617 2.2906
0.7144 0.4703 2.5697
0.9148 0.0619 1.4696
0.0591 0.4083 1.4024
0.4292 0.2746 2.0331
0.0156 0.7001 2.0161
0.9019 0.0624 1.7734
0.5458 0.5243 1.2348
0.7780 0.3843 1.6743
0.8753 0.4910 2.4471
0.5222 0.1535 1.0721
0.2941 0.0639 0.8250
0.1934 0.3364 1.3452
0.0036 0.7101 1.6052
0.9033 0.1498 1.0706
0.2449 0.9742 2.0499
0.8632 0.8922 4.1074
0.5119 0.5066 2.8861
0.3169 0.2786 1.6836
0.6533 0.5366 3.2438
0.9190 0.4823 2.1502
0.4687 0.0076 0.1854
0.7672 0.3262 1.7438
0.4708 0.6617 2.5658
0.5614 0.6370 1.6267
0.8324 0.2732 1.9508
0.1937 0.8552 3.0227
0.8561 0.9333 3.2865
0.3101 0.6597 2.8822
0.1041 0.5284 2.3583
0.2328 0.9299 2.9560
0.8789 0.5056 3.5103
0.3593 0.6666 2.5861
0.9639 0.9591 3.4216
0.4370 0.5243 1.1818
0.1560 0.1383 1.3458
0.7908 0.4705 2.1099
0.7041 0.6976 2.7383
0.5479 0.4243 1.7041
0.4139 0.0116 0.2183
0.2211 0.5292 1.1677
0.1125 0.6858 1.4962
0.8765 0.0983 2.1128
0.4560 0.5838 2.9651
0.1969 0.1053 0.4577
0.0547 0.4093 0.2284
0.1004 0.6461 1.0214
0.6085 0.8136 3.1152
0.1720 0.3271 1.8796
0.6381 0.0766 2.0943
0.1737 0.2440 0.2698
0.9264 0.0392 0.6757
0.1022 0.3419 0.4413
0.0384 0.7950 2.7291
0.4625 0.0437 0.5849
0.6493 0.6291 2.1370
0.8749 0.0947 2.1267
0.4392 0.9544 3.0607
0.0797 0.7459 1.1742
0.9081 0.3415 1.2337
0.0270 0.9355 2.9787
0.6719 0.8961 3.6967
0.5350 0.4053 2.0495
0.6147 0.9524 3.3841
0.6887 0.2538 1.0171
0.3883 0.4624 1.9763
0.4219 0.8320 2.4801
0.2464 0.1838 1.1600
0.9504 0.6315 2.2433
0.4502 0.4748 2.4493
0.6060 0.9167 4.0508
0.9823 0.8019 4.0099
0.3341 0.9834 2.2468
0.8223 0.5398 2.4743
0.4394 0.0890 0.0799
0.8941 0.3512 2.8241
0.3437 0.6287 1.0718
0.4630 0.5194 2.4887
0.1750 0.4723 2.2862
0.6504 0.2222 1.1025
0.2639 0.4624 1.5579
0.1587 0.6200 1.4682
0.6204 0.1838 0.3639
0.8977 0.8601 3.4793
0.6951 0.0763 1.9668
0.0812 0.7133 1.1732
0.6647 0.0118 0.8146
0.6055 0.8364 3.3485
0.0776 0.3222 0.7825
0.2181 0.6449 2.4514
0.5010 0.4940 2.2711
0.8131 0.9776 4.5171
0.9724 0.3544 1.5258
0.9232 0.4964 2.9341
0.8818 0.2355 2.6766
0.0102 0.1392 0.0674
0.2673 0.3339 1.7572
0.8655 0.2562 0.9076
0.2653 0.2247 0.7844
0.0610 0.1299 0.2175
0.9942 0.6399 3.8502
0.0762 0.1137 -0.4941
0.1353 0.1955 0.0930
0.1407 0.7637 3.0409
0.1691 0.0144 1.1393
0.4136 0.3974 0.7889
0.1043 0.9123 2.2012
0.0714 0.0338 -0.1451
0.5663 0.9228 3.9335
0.3226 0.6903 2.4653
0.8960 0.9599 4.2822
0.7808 0.7105 2.5121
0.2911 0.1489 1.3405
0.8369 0.4853 2.4463
0.8005 0.5862 2.0906
0.2535 0.8849 2.2805
0.2634 0.4518 1.2961
0.1625 0.6446 1.7237
0.8033 0.4086 2.0730
0.3448 0.3268 1.8463
0.5058 0.0707 1.4596
0.7058 0.3377 1.7992
0.8341 0.6487 1.8299
0.2551 0.2865 1.6140
0.5527 0.9522 2.7432
0.3723 0.5101 1.4495
0.0689 0.1685 0.8299
0.2392 0.2217 1.2725
0.1927 0.0792 0.3170
0.2289 0.2554 1.9528
0.8847 0.3185 1.7535
0.0438 0.4438 1.2191
0.7118 0.9709 3.9930
0.4215 0.3262 0.8890
0.9001 0.9554 4.4755
0.6891 0.7682 2.6990
0.9710 0.1183 2.6515
0.6898 0.6648 2.8637
0.5656 0.6691 2.1473
0.6197 0.1009 1.7990
0.7697 0.6545 2.0368
0.5509 0.4530 2.7104
0.3705 0.4079 0.6432
0.4306 0.2795 1.1172
0.1597 0.2867 0.0777
0.5304 0.4235 1.6558
0.6052 0.4800 2.5201
0.2328 0.8453 2.6255
0.1497 0.7843 2.9492
0.5829 0.5473 2.4503
0.8901 0.7882 3.6568
0.0766 0.0566 0.0885
0.3864 0.3227 2.1512
0.4429 0.4359 2.4968
0.8113 0.6516 1.7979
0.1480 0.9846 2.1191
0.4906 0.4959 2.1319
0.0927 0.7305 2.2074
0.6265 0.7191 1.9850
0.0066 0.3734 1.4727
0.4568 0.8277 2.7216
0.9610 0.6926 3.2488
0.4583 0.8299 3.2814
0.1032 0.4309 1.8328
0.5835 0.9622 3.9737
0.2274 0.6221 1.2563
0.4889 0.8442 3.5084
0.1841 0.5018 0.9881
0.1227 0.9856 3.5563
0.8000 0.1829 2.5151
0.3586 0.8079 2.7275
0.6210 0.0064 1.7786
0.2947 0.8345 1.5591
0.1103 0.6968 2.4763
0.0180 0.9776 2.5953
0.5028 0.5118 2.0071
0.6849 0.6398 2.6484
0.4475 0.9876 3.6957
0.0581 0.1597 -0.4434
0.4665 0.1791 1.0280
0.8722 0.5611 2.5170
0.2461 0.1537 0.2193
0.6055 0.6881 1.8081
0.3737 0.0088 0.5552
0.5462 0.6948 2.2915
0.0632 0.0992 0.4298
0.2252 0.0218 -0.1759
0.7909 0.6213 3.0931
0.5758 0.3862 1.6222
0.0813 0.4742 1.7253
0.4364 0.5226 2.3955
0.2402 0.7150 2.0619
0.3564 0.9268 2.4647
0.0777 0.2749 -0.1634
0.7395 0.4643 2.8986
0.4346 0.7894 2.0297
0.5319 0.3413 1.7347
0.1025 0.1276 0.5124
0.8073 0.4196 2.3087
0.7892 0.2072 1.3442
0.6766 0.6431 1.7086
0.8535 0.2396 1.1539
0.3769 0.5371 1.6652
0.5607 0.4079 1.5252
0.9522 0.6490 2.3661
0.2023 0.7271 2.1998
0.1996 0.7251 2.6424
0.9768 0.2283 1.4659
0.7104 0.5219 1.5457
0.7037 0.3475 1.0749
0.1566 0.2137 1.6985
0.8537 0.2381 1.1849
0.6648 0.8531 3.3027
0.6138 0.4669 2.0215
0.4961 0.5832 1.4523
0.0036 0.9381 1.8371
0.5804 0.4744 2.9228
0.6014 0.8552 2.6311
0.4927 0.3272 0.7768
0.9965 0.8523 3.6880
0.9665 0.3532 2.4511
0.9139 0.1422 1.0518
0.7992 0.2891 1.4499
0.2499 0.3684 1.5466
0.3443 0.1719 0.5156
0.4559 0.5578 2.6282
0.2882 0.2204 0.9111
0.5415 0.8779 3.7230
0.1442 0.7957 1.9058
0.7758 0.7973 2.2346
0.2636 0.9943 3.1615
0.1470 0.1945 1.5517
0.7813 0.0737 2.0683
